,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Vs Dribbles Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Past_p90 (defense_Padj_p90),Press_p90 (defense_Padj_p90),Succ Pressures_p90 (defense_Padj_p90),Pressures Def 3rd_p90 (defense_Padj_p90),Pressures Mid 3rd_p90 (defense_Padj_p90),Pressures Att 3rd_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),ShSv_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),Drib_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types Drib_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),AvgDist_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),TotDist Passed_p90 (passing_p90),PrgDist Passed_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xA_p90 (passing_p90),A-xA_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),CrsPA_p90 (passing_p90),Prog Passes_p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Press_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Ground_p90 (passing_types_p90),Low_p90 (passing_types_p90),High_p90 (passing_types_p90),Left_p90 (passing_types_p90),Right_p90 (passing_types_p90),Head_p90 (passing_types_p90),TI_p90 (passing_types_p90),Other_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Outcomes Out_p90 (passing_types_p90),Int_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),#Pl_p90 (possession_p90),Megs_p90 (possession_p90),Carries_p90 (possession_p90),TotDist Carried_p90 (possession_p90),PrgDist Carried_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Targ_p90 (possession_p90),Rec_p90 (possession_p90),Receiving Prog_p90 (possession_p90),Prog Actions (possession_p90),Prog Actions_p90 (possession_p90),KP_p90 (possession_p90),Passes into Final 1/3_p90 (possession_p90),Passes into Penalty Area_p90 (possession_p90),Prog Passes_p90 (possession_p90),xA_p90 (possession_p90),Prog Passes_p90 per 50 passes (possession_p90),Prog Carries_p90 per 100 touches (possession_p90),True Interceptions_p90 (possession_p90),Gls_p90 (possession_p90),Sh_p90 (possession_p90),SoT_p90 (possession_p90),Average Shot Distance (yards) (possession_p90),npxG_p90 (possession_p90),npxG/Shot (possession_p90),Press_p90 (possession_p90),Succ Pressures_p90 (possession_p90),Shots Blocked_p90 (possession_p90),Aerial Win % (possession_p90),% of Dribblers Tackled (possession_p90),Padj Tkl+Int p90 (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),Dist_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),TMPosition
559,559,560.0,Aaron Connolly,IRL,FW,Brighton,Premier League,22.0,2000.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,15.88,2.94,2.35,6.47,7.06,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.59,4.12,0.0,0.59,0.0,0.0,0.0,0.0,0.0,4.12,0.0,4.12,8.82,10.59,124.71,5.88,5.29,6.47,3.53,4.12,0.0,0.0,0.0,0.24,-0.24,0.59,0.0,0.0,0.0,0.0,10.59,10.0,0.59,0.0,0.0,3.53,0.0,0.59,0.0,0.0,0.0,0.0,8.82,1.76,0.0,0.59,8.82,0.0,0.0,1.18,8.82,0.0,0.0,0.59,0.59,90.23,3.64,0.91,5.53,0.45,0.98,1.82,0.61,0.18,2.5,0.98,1.52,0.03,2.17,1.61,0.56,-0.02,20.0,0.0,0.0,8.24,12.35,2.35,19.41,0.0,0.59,0.0,0.0,12.94,77.65,24.71,1.76,0.0,0.0,1.76,0.59,38.24,12.94,4.12,3.0,1.76,0.59,0.0,0.0,0.0,0.24,0.0,8.8,1.18,0.0,1.18,0.0,14.9,0.29,0.23,15.88,2.94,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.29,0.29,0.14,-0.29,-0.29,Centre-Forward
593,593,594.0,Aaron Cresswell,ENG,DF,West Ham,Premier League,32.0,1989.0,30.3,0.99,0.63,0.66,0.26,0.07,0.46,0.89,0.43,7.03,2.21,3.66,2.41,0.96,1.58,0.56,0.0,1.02,1.42,2.41,2.51,0.03,2.23,1.62,0.89,0.66,0.0,0.07,0.0,0.0,0.17,0.07,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.66,0.43,0.07,2.08,1.42,0.63,0.0,0.03,0.0,8.02,1.19,0.99,54.16,67.56,983.14,410.3,24.19,26.11,23.47,26.63,5.91,12.61,0.1,0.11,-0.01,1.16,4.19,0.79,0.26,5.12,67.56,56.27,11.29,1.88,0.0,6.9,1.58,2.08,1.72,0.43,1.29,0.0,41.85,11.58,14.13,53.33,3.99,1.52,7.69,0.23,54.16,0.33,0.96,1.88,1.85,,,,,,,,inf,,,,,,,,,,75.61,4.72,23.4,36.2,20.2,0.96,64.29,0.1,0.43,0.1,0.1,46.2,196.53,97.82,3.63,1.55,0.07,0.3,0.36,50.17,48.35,0.96,265.0,8.75,1.16,4.19,0.79,5.12,0.11,4.73,4.8,3.0,0.07,0.59,0.1,19.9,0.04,0.06,7.03,2.21,0.56,54.5,51.9,2.23,0.07,0.59,0.1,0.0,0.02,0.66,0.26,0.0,0.0,0.04,0.04,0.0,0.03,0.03,Left-Back
1182,1182,1183.0,Aaron Hickey,SCO,DF,Bologna,Serie A,19.0,2002.0,31.3,1.44,0.7,0.73,0.38,0.32,0.51,0.86,0.35,12.81,3.51,6.13,4.44,2.24,2.11,0.48,0.0,1.63,1.25,2.68,1.47,0.0,2.77,1.25,1.05,0.03,0.06,0.0,0.06,0.03,0.13,0.13,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.0,0.0,1.44,2.4,0.13,1.25,1.25,0.7,0.0,0.0,0.0,5.75,0.54,1.31,34.09,41.69,534.54,171.28,18.18,19.97,13.45,16.36,1.92,3.67,0.03,0.04,-0.01,0.58,1.18,0.7,0.29,1.63,41.69,33.07,8.63,0.73,0.03,6.65,0.32,1.25,0.0,0.0,0.0,0.0,27.32,8.27,6.1,18.98,13.45,1.02,7.89,0.06,34.09,0.06,0.35,1.12,0.99,89.55,11.19,1.04,12.24,0.75,0.15,3.73,0.3,0.21,1.94,1.64,0.3,0.09,1.76,1.6,0.16,0.01,52.56,3.0,16.49,23.67,16.04,1.05,44.22,0.89,1.76,1.12,0.06,33.45,171.73,94.92,4.22,1.44,0.32,1.02,0.86,35.94,31.34,2.43,183.0,5.85,0.58,1.18,0.7,1.63,0.04,2.39,8.03,3.36,0.16,0.67,0.42,21.0,0.04,0.05,12.81,3.51,0.48,29.3,59.3,2.77,0.16,0.67,0.42,0.01,0.01,0.67,0.0,0.0,0.0,0.04,0.04,0.0,0.12,0.12,Left-Back
1507,1507,1508.0,Aaron Lennon,ENG,MF,Burnley,Premier League,35.0,1987.0,17.2,2.21,1.05,0.76,0.93,0.52,0.52,2.27,1.74,20.23,4.83,5.64,8.26,6.34,1.86,0.23,0.0,1.63,0.87,3.08,0.76,0.0,1.66,1.86,1.16,0.0,0.29,0.06,0.35,0.0,0.29,0.06,0.0,0.12,0.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,1.34,1.45,0.23,1.74,0.87,1.05,0.0,0.06,0.0,5.29,0.58,1.51,14.77,22.33,218.72,50.12,9.24,11.57,4.24,6.16,0.99,2.62,0.0,0.03,-0.03,0.58,0.52,0.29,0.12,0.99,22.33,21.8,0.52,0.06,0.0,3.72,0.64,1.74,0.17,0.17,0.0,0.0,14.77,3.2,4.36,2.09,18.78,0.81,0.17,0.0,14.77,0.17,0.41,0.93,1.86,90.16,4.51,1.04,4.51,0.88,0.0,0.0,0.41,0.09,1.55,1.35,0.21,0.01,1.51,1.57,-0.06,-0.0,32.79,1.4,5.58,13.43,15.47,2.79,32.33,0.87,2.15,1.05,0.06,21.45,106.57,54.65,3.26,0.76,1.05,1.05,0.93,28.02,20.12,2.97,73.0,4.25,0.58,0.52,0.29,0.99,0.03,3.35,9.94,2.73,0.12,0.7,0.23,19.3,0.06,0.09,20.23,4.83,0.23,27.8,23.1,1.66,0.12,0.7,0.23,0.01,0.03,1.12,0.0,0.0,0.0,0.06,0.06,0.01,0.05,0.05,Right Winger
2215,2215,2216.0,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24.0,1998.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.03,23.18,34.0,658.62,396.71,5.32,5.38,10.47,10.65,7.26,17.76,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.03,34.0,25.88,8.12,2.44,0.0,2.59,1.03,0.0,0.0,0.0,0.0,0.0,18.0,1.32,14.68,2.44,25.35,0.03,0.03,4.62,23.18,0.09,1.35,0.5,0.12,89.71,10.0,1.18,9.71,0.29,0.15,11.62,0.88,0.13,0.74,2.21,-1.47,-0.1,0.82,2.31,-1.49,-0.11,36.74,29.26,36.41,0.41,0.0,0.0,28.74,0.06,0.06,0.06,0.0,20.15,104.03,54.44,0.0,0.0,0.0,0.0,0.0,17.97,17.82,0.0,1.0,0.03,0.0,0.82,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
2216,2216,2217.0,Aaron Ramsey,WAL,MF,Juventus,Serie A,31.0,1990.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,2.06,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.91,0.91,0.0,0.0,1.82,0.0,0.0,0.0,0.0,3.64,0.0,0.0,54.55,60.91,1070.91,249.09,22.73,25.45,22.73,24.55,9.09,10.91,0.0,0.09,-0.09,1.82,4.55,0.0,0.0,3.64,60.91,57.27,3.64,2.73,0.0,8.18,1.82,0.0,0.0,0.0,0.0,0.0,47.27,6.36,7.27,26.36,30.91,3.64,0.0,0.0,54.55,0.0,0.0,1.82,0.0,,,,,,,,inf,,,,,,,,,,62.73,1.82,16.36,37.27,10.0,1.82,60.0,0.0,0.0,0.0,0.0,42.73,140.91,56.36,1.82,0.91,0.0,0.91,0.91,55.45,53.64,1.82,6.0,5.46,1.82,4.55,0.0,3.64,0.09,3.34,2.9,1.82,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Midfield
2819,2819,2820.0,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,24.0,1997.0,19.9,2.31,1.26,1.31,0.65,0.35,0.35,0.9,0.55,11.31,3.22,5.33,3.92,2.06,2.81,0.75,0.05,2.06,2.56,4.87,2.41,0.0,5.52,1.56,1.26,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.95,0.85,0.05,1.11,2.56,1.26,0.0,0.05,0.0,8.24,0.95,1.56,46.68,55.93,694.32,233.12,27.79,30.4,15.03,17.34,2.41,4.42,0.0,0.05,-0.05,0.7,2.16,0.6,0.35,2.66,55.93,46.88,9.05,0.55,0.0,7.04,1.01,1.11,0.0,0.0,0.0,0.0,39.4,11.56,4.97,3.52,42.11,1.21,8.49,0.0,46.68,0.1,0.5,2.56,1.81,50.0,50.0,0.0,0.0,0.0,10.0,50.0,40.0,10.0,0.0,0.0,0.0,9.2,0.0,1.0,-1.0,-20.6,68.49,4.22,23.57,30.85,18.49,1.31,59.55,1.81,2.91,1.91,0.25,43.22,200.65,112.76,4.72,1.66,0.2,0.55,1.41,44.27,40.2,1.86,147.0,7.38,0.7,2.16,0.6,2.66,0.05,2.85,6.89,5.37,0.0,0.25,0.05,13.5,0.01,0.04,11.31,3.22,0.75,38.0,38.9,5.52,0.0,0.25,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Right-Back
831,831,832.0,Aarón Escandell,ESP,GK,Granada,La Liga,26.0,1995.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,22.5,39.06,913.75,689.69,4.06,4.06,4.38,5.0,13.75,29.69,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,39.06,22.5,16.56,5.0,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,9.38,1.88,27.81,3.75,26.56,0.31,0.0,4.06,22.5,0.0,1.25,0.94,0.0,90.0,45.0,1.0,45.0,1.0,0.0,0.0,8.5,0.0,1.5,4.5,-3.0,-1.62,1.35,2.75,-1.4,-0.76,42.19,36.88,41.56,0.62,0.0,0.0,25.94,0.0,0.0,0.0,0.0,14.38,89.06,54.69,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
1677,1677,1678.0,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25.0,1997.0,25.5,2.27,1.25,1.33,0.71,0.24,0.75,1.73,0.98,15.29,5.18,5.96,6.78,2.55,1.33,0.16,0.0,1.18,1.37,3.65,1.88,0.0,2.96,2.51,1.33,1.06,0.0,0.08,0.04,0.0,0.12,0.04,0.08,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.0,0.0,1.33,0.67,0.0,2.9,1.37,1.25,0.0,0.0,0.0,6.82,0.67,1.1,30.9,43.8,601.1,245.33,13.73,15.61,11.76,14.75,5.14,12.08,0.04,0.16,-0.12,1.92,2.12,1.1,0.71,3.02,43.8,33.76,10.04,1.25,0.04,5.29,2.16,2.9,3.76,2.08,1.37,0.04,22.59,7.73,13.49,34.78,2.55,1.02,5.02,0.08,30.9,0.2,0.47,1.76,1.57,90.0,90.0,0.0,0.0,0.0,2.0,90.0,26.0,2.0,2.0,2.0,0.0,-1.02,3.4,2.0,1.4,2.4,53.22,1.8,14.39,23.53,18.12,0.94,43.06,1.25,1.96,1.37,0.0,29.65,131.96,64.86,2.31,0.82,0.04,0.75,0.71,32.31,28.51,1.37,136.0,5.33,1.92,2.12,1.1,3.02,0.16,4.89,4.34,2.7,0.04,0.71,0.16,21.2,0.04,0.06,15.29,5.18,0.16,37.8,43.2,2.96,0.04,0.71,0.16,0.0,0.01,0.83,0.2,0.0,0.0,0.04,0.04,0.0,0.0,0.0,Left-Back
1261,1261,1262.0,Abdel Jalil Medioub,ALG,DF,Bordeaux,Ligue 1,24.0,1997.0,6.9,2.17,1.16,1.01,1.16,0.0,0.72,1.01,0.29,6.81,2.46,4.49,1.74,0.58,1.45,0.72,0.0,0.72,2.46,4.64,4.49,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.58,0.14,0.0,0.0,2.46,1.16,0.0,0.0,0.0,8.12,1.74,0.58,33.62,41.16,722.75,247.1,9.71,11.45,17.68,19.42,5.94,9.71,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.59,41.16,40.29,0.87,0.72,0.14,3.62,1.16,0.0,0.0,0.0,0.0,0.0,30.0,3.48,7.68,3.62,34.06,2.61,0.14,0.0,33.62,0.0,0.87,0.72,0.29,,,,,,,,inf,,,,,,,,,,52.17,7.83,36.09,17.54,0.72,0.43,51.45,0.58,0.58,0.58,0.0,30.14,111.45,69.13,1.3,0.14,0.0,0.58,0.14,31.88,31.74,0.0,20.0,2.89,0.0,1.16,0.0,1.59,0.0,2.36,2.49,3.91,0.0,0.43,0.0,22.1,0.01,0.02,6.81,2.46,0.72,75.0,71.4,3.99,0.0,0.43,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Centre-Back
2347,2347,2348.0,Abdelhamid Sabiri,GER,"MF,FW",Sampdoria,Serie A,25.0,1996.0,9.9,3.23,2.22,0.61,1.72,0.91,0.51,1.31,0.81,26.26,6.77,4.14,14.44,7.68,1.01,0.1,0.0,0.91,0.81,4.04,0.61,0.0,3.3,2.63,1.72,0.1,0.4,0.0,0.2,0.2,0.51,0.2,0.0,0.1,0.0,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.0,2.53,3.64,0.1,0.51,0.81,2.22,0.0,0.0,0.0,5.05,2.12,3.03,26.36,34.85,490.2,115.25,12.83,14.75,8.99,11.52,3.33,5.56,0.2,0.12,0.08,1.11,2.83,0.71,0.1,2.53,34.85,31.62,3.23,1.82,0.1,8.08,1.82,0.51,0.71,0.4,0.0,0.2,23.84,4.55,6.46,4.55,26.57,0.91,0.51,0.61,26.36,0.4,0.4,0.91,1.72,89.97,2.65,1.0,2.81,0.87,0.1,0.97,0.0,0.03,1.0,1.61,-0.61,0.04,1.16,1.25,-0.09,0.02,49.7,0.3,5.86,28.59,18.59,2.53,47.17,1.62,2.93,1.72,0.1,35.15,152.93,67.37,2.93,1.21,0.2,2.42,2.12,45.25,35.25,5.25,54.0,5.46,1.11,2.83,0.71,2.53,0.12,4.8,5.9,1.82,0.3,1.62,0.91,22.7,0.11,0.07,26.26,6.77,0.1,41.2,38.5,3.3,0.3,1.62,0.91,0.02,0.03,2.29,0.3,0.0,0.0,0.11,0.11,0.01,0.19,0.19,Attacking Midfield
841,841,842.0,Abdessamad Ezzalzouli,MAR,"FW,DF",Barcelona,La Liga,20.0,2001.0,6.4,2.34,1.56,1.41,0.62,0.31,0.78,1.25,0.47,15.78,5.16,4.38,6.09,5.31,0.94,0.0,0.0,0.94,1.72,4.06,0.0,0.0,6.56,1.72,0.94,0.0,0.31,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.0,0.0,2.66,2.97,0.31,3.28,1.72,1.56,0.0,0.0,0.0,5.78,0.47,2.19,21.56,29.53,278.59,44.06,16.41,19.06,3.28,5.31,1.09,2.34,0.0,0.09,-0.09,0.78,0.31,0.47,0.16,1.41,29.53,28.75,0.78,0.16,0.0,5.47,0.62,3.28,0.16,0.0,0.0,0.0,22.03,3.91,3.59,4.38,23.44,0.62,0.47,0.31,21.56,0.0,0.0,1.72,1.41,90.13,2.38,0.73,4.9,0.07,1.79,1.32,0.0,0.09,1.26,2.12,-0.86,-0.09,1.34,1.91,-0.57,-0.03,47.81,0.0,7.19,15.94,30.47,9.38,47.03,4.53,7.34,4.69,0.31,42.66,284.22,194.06,9.22,2.66,3.59,3.75,3.44,46.41,35.78,7.81,68.0,10.63,0.78,0.31,0.47,1.41,0.09,3.27,19.28,2.66,0.16,2.5,0.47,16.2,0.2,0.08,15.78,5.16,0.0,17.6,62.5,6.56,0.16,2.5,0.47,0.01,0.05,2.53,0.0,0.0,0.0,0.2,0.2,0.01,-0.05,-0.05,Left Winger
699,699,700.0,Abdou Diallo,SEN,DF,Paris S-G,Ligue 1,26.0,1996.0,9.7,2.47,1.86,1.24,0.93,0.31,0.93,1.75,0.82,12.16,4.54,4.12,5.57,2.47,1.44,0.31,0.0,1.13,1.34,3.81,2.06,0.1,5.98,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,1.24,0.31,0.0,1.44,1.34,1.86,0.0,0.0,0.0,5.98,1.55,0.41,64.43,72.06,1166.39,436.6,26.49,28.66,30.62,32.89,6.49,8.97,0.1,0.06,0.04,0.41,3.71,0.82,0.31,5.57,72.06,65.46,6.6,1.34,0.0,6.19,1.13,1.44,0.0,0.0,0.0,0.0,56.8,8.76,6.49,57.53,7.22,0.93,5.26,0.1,64.43,0.1,0.62,1.75,0.82,,,,,,,,inf,,,,,,,,,,81.75,6.39,27.22,43.61,17.32,0.93,75.26,1.55,2.37,1.75,0.1,60.0,306.39,181.44,6.49,2.16,0.31,1.03,1.13,62.89,61.03,1.03,117.0,12.06,0.41,3.71,0.82,5.57,0.06,4.32,7.94,2.78,0.0,0.21,0.1,14.5,0.02,0.09,12.16,4.54,0.31,78.9,52.9,5.98,0.0,0.21,0.1,0.0,0.0,1.49,0.0,0.0,0.0,0.02,0.02,0.01,-0.02,-0.02,Centre-Back
1139,1139,1140.0,Abdou Harroui,NED,MF,Sassuolo,Serie A,24.0,1998.0,5.0,2.4,1.8,1.0,1.2,0.2,1.2,3.0,1.8,27.8,7.4,8.2,13.4,6.2,3.0,0.0,0.0,3.0,1.4,3.8,0.6,0.0,4.84,2.6,2.4,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.0,0.0,3.0,0.4,0.0,0.6,1.4,1.8,0.0,0.0,0.0,11.0,1.4,1.8,51.4,59.4,920.4,184.2,24.4,26.8,20.2,22.4,6.2,7.8,0.0,0.04,-0.04,1.0,6.8,0.0,0.0,2.8,59.4,58.6,0.8,0.6,0.0,11.8,1.2,0.6,0.0,0.0,0.0,0.0,47.8,4.4,7.2,12.2,44.0,1.4,0.2,0.2,51.4,0.2,0.6,1.2,1.8,90.17,3.22,1.02,3.56,0.64,0.17,1.1,0.21,0.1,2.5,0.68,1.82,-0.01,2.27,0.69,1.58,-0.01,73.8,2.0,15.2,41.8,21.4,2.8,73.0,0.2,1.2,0.8,0.0,53.0,270.4,112.2,6.4,2.2,0.6,1.6,1.8,59.6,52.6,3.4,46.0,9.2,1.0,6.8,0.0,2.8,0.04,2.72,8.67,4.4,0.0,2.6,0.4,20.9,0.1,0.04,27.8,7.4,0.0,43.8,40.0,4.84,0.0,2.6,0.4,0.0,0.0,4.18,0.0,0.0,0.0,0.1,0.1,0.01,-0.1,-0.1,Central Midfield
